Order ID,Order Date,Ship Date,Shipping Days,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin %,Revenue per Unit,Discount_Level,Order Size,Is_Profitable,High_Value_Order,On_Time_Shipping,Year,Month,Quarter,Weekday
CA-2016-152156,2016-11-08,2016-11-11,3,Second Class,CG-12520,Claire Gute,Consumer,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,16.0,130.98,Low,Small,True,False,True,2016,11,4,Tuesday
CA-2016-152156,2016-11-08,2016-11-11,3,Second Class,CG-12520,Claire Gute,Consumer,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,30.0,243.98,Low,Medium,True,True,True,2016,11,4,Tuesday
CA-2016-138688,2016-06-12,2016-06-16,4,Second Class,DV-13045,Darrin Van Huff,Corporate,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,47.0,7.31,Low,Small,True,False,True,2016,6,2,Sunday
US-2015-108966,2015-10-11,2015-10-18,7,Standard Class,SO-20335,Sean O'Donnell,Consumer,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,-40.0,191.52,High,Medium,False,True,False,2015,10,4,Sunday
US-2015-108966,2015-10-11,2015-10-18,7,Standard Class,SO-20335,Sean O'Donnell,Consumer,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,11.25,11.18,Medium,Small,True,False,False,2015,10,4,Sunday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,29.0,6.98,Low,Large,True,False,True,2014,6,2,Monday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,27.0,1.82,Low,Medium,True,False,True,2014,6,2,Monday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,10.0,151.19,Medium,Large,True,True,True,2014,6,2,Monday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,31.25,6.17,Medium,Medium,True,False,True,2014,6,2,Monday
CA-2014-115812,2014-06-09,2014-06-14,5,Standard Class,BH-11710,Brosina Hoffman,Consumer,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,30.0,22.98,Low,Medium,True,False,True,2014,6,2,Monday
